# Intensity Error [H,0,0] [0,K,0] [0,0,L] DeltaE
#  shape: 64x1x1x87
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 -4.625000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 -3.875000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 -3.125000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 -2.375000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 -1.625000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 -8.750000e-01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 -1.250000e-01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 6.250000e-01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 1.375000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.125000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.875000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 3.625000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 4.375000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 5.125000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 5.875000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 6.625000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 7.375000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 8.125000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 8.875000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 9.625000e+00
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 1.037500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 1.112500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 1.187500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 1.262500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 1.337500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 1.412500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 1.487500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 1.562500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 1.637500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 1.712500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 1.787500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 1.862500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 1.937500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.012500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.087500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.162500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.237500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.312500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.387500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.462500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.537500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.612500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.687500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.762500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.837500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.912500e+01
nan nan -3.150000e+00 0.000000e+00 0.000000e+00 2.987500e+01
