# Intensity Error [H,H,0] [-H,H,0] [0,0,L] DeltaE
#  shape: 40x1x1x87
9.056402e-04 5.913088e-05 -9.750000e-01 1.000000e+00 0.000000e+00 -4.625000e+00
2.206206e-03 9.041227e-05 -9.750000e-01 1.000000e+00 0.000000e+00 -3.875000e+00
7.819379e-03 1.688489e-04 -9.750000e-01 1.000000e+00 0.000000e+00 -3.125000e+00
2.133126e-02 2.767373e-04 -9.750000e-01 1.000000e+00 0.000000e+00 -2.375000e+00
4.054866e-02 3.808786e-04 -9.750000e-01 1.000000e+00 0.000000e+00 -1.625000e+00
5.485554e-02 4.409422e-04 -9.750000e-01 1.000000e+00 0.000000e+00 -8.750000e-01
5.993668e-02 4.606349e-04 -9.750000e-01 1.000000e+00 0.000000e+00 -1.250000e-01
5.477888e-02 4.380005e-04 -9.750000e-01 1.000000e+00 0.000000e+00 6.250000e-01
3.802478e-02 3.647908e-04 -9.750000e-01 1.000000e+00 0.000000e+00 1.375000e+00
2.259255e-02 2.814170e-04 -9.750000e-01 1.000000e+00 0.000000e+00 2.125000e+00
8.576571e-03 1.737432e-04 -9.750000e-01 1.000000e+00 0.000000e+00 2.875000e+00
1.003505e-03 6.142837e-05 -9.750000e-01 1.000000e+00 0.000000e+00 3.625000e+00
9.808299e-05 2.583958e-05 -9.750000e-01 1.000000e+00 0.000000e+00 4.375000e+00
3.462492e-06 2.254041e-05 -9.750000e-01 1.000000e+00 0.000000e+00 5.125000e+00
3.518412e-05 2.137039e-05 -9.750000e-01 1.000000e+00 0.000000e+00 5.875000e+00
2.355132e-05 2.062420e-05 -9.750000e-01 1.000000e+00 0.000000e+00 6.625000e+00
-1.926566e-05 1.545490e-05 -9.750000e-01 1.000000e+00 0.000000e+00 7.375000e+00
7.912142e-06 1.815205e-05 -9.750000e-01 1.000000e+00 0.000000e+00 8.125000e+00
1.491213e-05 1.688368e-05 -9.750000e-01 1.000000e+00 0.000000e+00 8.875000e+00
2.575418e-05 1.636923e-05 -9.750000e-01 1.000000e+00 0.000000e+00 9.625000e+00
1.115388e-05 1.127884e-05 -9.750000e-01 1.000000e+00 0.000000e+00 1.037500e+01
-2.274367e-05 1.310739e-05 -9.750000e-01 1.000000e+00 0.000000e+00 1.112500e+01
-3.234684e-05 8.614451e-06 -9.750000e-01 1.000000e+00 0.000000e+00 1.187500e+01
-1.420982e-05 9.720239e-06 -9.750000e-01 1.000000e+00 0.000000e+00 1.262500e+01
9.439127e-06 1.099494e-05 -9.750000e-01 1.000000e+00 0.000000e+00 1.337500e+01
2.506101e-05 1.132522e-05 -9.750000e-01 1.000000e+00 0.000000e+00 1.412500e+01
-5.984144e-06 7.132368e-06 -9.750000e-01 1.000000e+00 0.000000e+00 1.487500e+01
2.264185e-05 1.055969e-05 -9.750000e-01 1.000000e+00 0.000000e+00 1.562500e+01
2.128260e-06 1.160105e-05 -9.750000e-01 1.000000e+00 0.000000e+00 1.637500e+01
-6.813576e-06 1.298143e-05 -9.750000e-01 1.000000e+00 0.000000e+00 1.712500e+01
6.337416e-06 1.166609e-05 -9.750000e-01 1.000000e+00 0.000000e+00 1.787500e+01
3.382176e-06 9.921251e-06 -9.750000e-01 1.000000e+00 0.000000e+00 1.862500e+01
2.344433e-05 1.404682e-05 -9.750000e-01 1.000000e+00 0.000000e+00 1.937500e+01
2.082659e-05 1.398112e-05 -9.750000e-01 1.000000e+00 0.000000e+00 2.012500e+01
-2.290531e-05 1.210386e-05 -9.750000e-01 1.000000e+00 0.000000e+00 2.087500e+01
2.647318e-05 1.539575e-05 -9.750000e-01 1.000000e+00 0.000000e+00 2.162500e+01
3.053976e-05 1.111202e-05 -9.750000e-01 1.000000e+00 0.000000e+00 2.237500e+01
1.408330e-05 1.268893e-05 -9.750000e-01 1.000000e+00 0.000000e+00 2.312500e+01
2.537924e-05 1.109148e-05 -9.750000e-01 1.000000e+00 0.000000e+00 2.387500e+01
1.832272e-05 1.128406e-05 -9.750000e-01 1.000000e+00 0.000000e+00 2.462500e+01
2.555013e-05 1.333403e-05 -9.750000e-01 1.000000e+00 0.000000e+00 2.537500e+01
2.333989e-05 1.073355e-05 -9.750000e-01 1.000000e+00 0.000000e+00 2.612500e+01
2.338722e-06 9.260427e-06 -9.750000e-01 1.000000e+00 0.000000e+00 2.687500e+01
2.020673e-05 9.140840e-06 -9.750000e-01 1.000000e+00 0.000000e+00 2.762500e+01
1.416572e-05 9.840507e-06 -9.750000e-01 1.000000e+00 0.000000e+00 2.837500e+01
2.416235e-05 1.094887e-05 -9.750000e-01 1.000000e+00 0.000000e+00 2.912500e+01
3.991236e-05 1.164661e-05 -9.750000e-01 1.000000e+00 0.000000e+00 2.987500e+01
2.425529e-05 1.209522e-05 -9.750000e-01 1.000000e+00 0.000000e+00 3.062500e+01
1.225450e-05 1.171418e-05 -9.750000e-01 1.000000e+00 0.000000e+00 3.137500e+01
-1.734193e-06 8.620291e-06 -9.750000e-01 1.000000e+00 0.000000e+00 3.212500e+01
5.546694e-05 1.286424e-05 -9.750000e-01 1.000000e+00 0.000000e+00 3.287500e+01
2.964161e-05 1.328410e-05 -9.750000e-01 1.000000e+00 0.000000e+00 3.362500e+01
4.917402e-05 1.140450e-05 -9.750000e-01 1.000000e+00 0.000000e+00 3.437500e+01
5.184480e-05 1.340279e-05 -9.750000e-01 1.000000e+00 0.000000e+00 3.512500e+01
3.912847e-05 1.041711e-05 -9.750000e-01 1.000000e+00 0.000000e+00 3.587500e+01
3.726561e-06 1.134830e-05 -9.750000e-01 1.000000e+00 0.000000e+00 3.662500e+01
2.531211e-05 9.614656e-06 -9.750000e-01 1.000000e+00 0.000000e+00 3.737500e+01
6.848439e-06 7.833773e-06 -9.750000e-01 1.000000e+00 0.000000e+00 3.812500e+01
-1.483443e-06 7.312741e-06 -9.750000e-01 1.000000e+00 0.000000e+00 3.887500e+01
6.500420e-06 7.448367e-06 -9.750000e-01 1.000000e+00 0.000000e+00 3.962500e+01
1.235842e-05 5.695574e-06 -9.750000e-01 1.000000e+00 0.000000e+00 4.037500e+01
-1.165437e-05 5.386942e-06 -9.750000e-01 1.000000e+00 0.000000e+00 4.112500e+01
-9.771433e-06 4.102426e-06 -9.750000e-01 1.000000e+00 0.000000e+00 4.187500e+01
1.137379e-05 5.247319e-06 -9.750000e-01 1.000000e+00 0.000000e+00 4.262500e+01
-3.544855e-06 3.312213e-06 -9.750000e-01 1.000000e+00 0.000000e+00 4.337500e+01
-1.100784e-06 3.575911e-06 -9.750000e-01 1.000000e+00 0.000000e+00 4.412500e+01
1.066584e-05 5.839663e-06 -9.750000e-01 1.000000e+00 0.000000e+00 4.487500e+01
5.796786e-06 5.918464e-06 -9.750000e-01 1.000000e+00 0.000000e+00 4.562500e+01
-7.249922e-06 3.797932e-06 -9.750000e-01 1.000000e+00 0.000000e+00 4.637500e+01
1.670291e-06 3.316655e-06 -9.750000e-01 1.000000e+00 0.000000e+00 4.712500e+01
-1.303260e-05 3.878492e-06 -9.750000e-01 1.000000e+00 0.000000e+00 4.787500e+01
-8.434360e-06 2.887658e-06 -9.750000e-01 1.000000e+00 0.000000e+00 4.862500e+01
-7.561486e-06 2.199533e-06 -9.750000e-01 1.000000e+00 0.000000e+00 4.937500e+01
-1.150766e-05 2.573507e-06 -9.750000e-01 1.000000e+00 0.000000e+00 5.012500e+01
-1.054000e-05 3.193426e-06 -9.750000e-01 1.000000e+00 0.000000e+00 5.087500e+01
-1.508215e-05 2.414552e-06 -9.750000e-01 1.000000e+00 0.000000e+00 5.162500e+01
-1.047784e-05 2.152463e-06 -9.750000e-01 1.000000e+00 0.000000e+00 5.237500e+01
-1.373362e-05 2.444493e-06 -9.750000e-01 1.000000e+00 0.000000e+00 5.312500e+01
-1.656100e-05 2.072247e-06 -9.750000e-01 1.000000e+00 0.000000e+00 5.387500e+01
-2.224642e-05 2.599237e-06 -9.750000e-01 1.000000e+00 0.000000e+00 5.462500e+01
-1.941998e-05 1.853781e-06 -9.750000e-01 1.000000e+00 0.000000e+00 5.537500e+01
-1.824557e-05 1.808467e-06 -9.750000e-01 1.000000e+00 0.000000e+00 5.612500e+01
-2.061925e-05 1.609495e-06 -9.750000e-01 1.000000e+00 0.000000e+00 5.687500e+01
-2.839913e-05 1.887575e-06 -9.750000e-01 1.000000e+00 0.000000e+00 5.762500e+01
-3.073567e-05 2.094594e-06 -9.750000e-01 1.000000e+00 0.000000e+00 5.837500e+01
-3.578254e-05 2.791315e-06 -9.750000e-01 1.000000e+00 0.000000e+00 5.912500e+01
-2.474697e-05 5.712788e-06 -9.750000e-01 1.000000e+00 0.000000e+00 5.987500e+01
5.235130e-04 4.622030e-05 -9.250000e-01 1.000000e+00 0.000000e+00 -4.625000e+00
2.620045e-03 9.863158e-05 -9.250000e-01 1.000000e+00 0.000000e+00 -3.875000e+00
3.258644e-03 1.113677e-04 -9.250000e-01 1.000000e+00 0.000000e+00 -3.125000e+00
3.640101e-03 1.193719e-04 -9.250000e-01 1.000000e+00 0.000000e+00 -2.375000e+00
5.537216e-03 1.467705e-04 -9.250000e-01 1.000000e+00 0.000000e+00 -1.625000e+00
8.287433e-03 1.785551e-04 -9.250000e-01 1.000000e+00 0.000000e+00 -8.750000e-01
7.526389e-03 1.697306e-04 -9.250000e-01 1.000000e+00 0.000000e+00 -1.250000e-01
4.966066e-03 1.401135e-04 -9.250000e-01 1.000000e+00 0.000000e+00 6.250000e-01
4.328553e-03 1.294685e-04 -9.250000e-01 1.000000e+00 0.000000e+00 1.375000e+00
3.186256e-03 1.117106e-04 -9.250000e-01 1.000000e+00 0.000000e+00 2.125000e+00
1.643518e-03 8.017841e-05 -9.250000e-01 1.000000e+00 0.000000e+00 2.875000e+00
5.115014e-04 4.672764e-05 -9.250000e-01 1.000000e+00 0.000000e+00 3.625000e+00
5.488624e-05 2.412436e-05 -9.250000e-01 1.000000e+00 0.000000e+00 4.375000e+00
8.631320e-06 2.326162e-05 -9.250000e-01 1.000000e+00 0.000000e+00 5.125000e+00
2.885957e-05 2.254303e-05 -9.250000e-01 1.000000e+00 0.000000e+00 5.875000e+00
4.352488e-05 2.123185e-05 -9.250000e-01 1.000000e+00 0.000000e+00 6.625000e+00
3.511617e-06 1.937867e-05 -9.250000e-01 1.000000e+00 0.000000e+00 7.375000e+00
2.167189e-05 1.653421e-05 -9.250000e-01 1.000000e+00 0.000000e+00 8.125000e+00
2.889437e-05 1.566936e-05 -9.250000e-01 1.000000e+00 0.000000e+00 8.875000e+00
4.755146e-05 1.616465e-05 -9.250000e-01 1.000000e+00 0.000000e+00 9.625000e+00
3.710477e-05 1.356909e-05 -9.250000e-01 1.000000e+00 0.000000e+00 1.037500e+01
-1.035759e-05 1.511652e-05 -9.250000e-01 1.000000e+00 0.000000e+00 1.112500e+01
-9.453309e-06 1.124164e-05 -9.250000e-01 1.000000e+00 0.000000e+00 1.187500e+01
-1.495807e-05 9.477101e-06 -9.250000e-01 1.000000e+00 0.000000e+00 1.262500e+01
1.475002e-05 1.329138e-05 -9.250000e-01 1.000000e+00 0.000000e+00 1.337500e+01
2.971264e-06 8.058519e-06 -9.250000e-01 1.000000e+00 0.000000e+00 1.412500e+01
3.154400e-05 1.168226e-05 -9.250000e-01 1.000000e+00 0.000000e+00 1.487500e+01
9.752703e-06 8.257445e-06 -9.250000e-01 1.000000e+00 0.000000e+00 1.562500e+01
-2.275367e-06 1.102614e-05 -9.250000e-01 1.000000e+00 0.000000e+00 1.637500e+01
-1.659593e-05 1.330053e-05 -9.250000e-01 1.000000e+00 0.000000e+00 1.712500e+01
2.508071e-05 1.217257e-05 -9.250000e-01 1.000000e+00 0.000000e+00 1.787500e+01
3.776824e-05 1.595006e-05 -9.250000e-01 1.000000e+00 0.000000e+00 1.862500e+01
3.271421e-05 1.436236e-05 -9.250000e-01 1.000000e+00 0.000000e+00 1.937500e+01
1.939982e-05 1.387904e-05 -9.250000e-01 1.000000e+00 0.000000e+00 2.012500e+01
-9.330266e-06 1.278627e-05 -9.250000e-01 1.000000e+00 0.000000e+00 2.087500e+01
-6.128134e-06 9.953675e-06 -9.250000e-01 1.000000e+00 0.000000e+00 2.162500e+01
4.202245e-05 1.447449e-05 -9.250000e-01 1.000000e+00 0.000000e+00 2.237500e+01
3.485031e-05 1.381449e-05 -9.250000e-01 1.000000e+00 0.000000e+00 2.312500e+01
4.400123e-05 1.195052e-05 -9.250000e-01 1.000000e+00 0.000000e+00 2.387500e+01
1.913003e-05 1.287264e-05 -9.250000e-01 1.000000e+00 0.000000e+00 2.462500e+01
1.630221e-05 1.158721e-05 -9.250000e-01 1.000000e+00 0.000000e+00 2.537500e+01
1.101414e-05 7.551377e-06 -9.250000e-01 1.000000e+00 0.000000e+00 2.612500e+01
1.749844e-05 1.074509e-05 -9.250000e-01 1.000000e+00 0.000000e+00 2.687500e+01
1.837407e-05 9.622365e-06 -9.250000e-01 1.000000e+00 0.000000e+00 2.762500e+01
3.034145e-05 1.065977e-05 -9.250000e-01 1.000000e+00 0.000000e+00 2.837500e+01
4.176821e-05 1.226642e-05 -9.250000e-01 1.000000e+00 0.000000e+00 2.912500e+01
3.527710e-05 1.085621e-05 -9.250000e-01 1.000000e+00 0.000000e+00 2.987500e+01
4.091381e-05 1.288302e-05 -9.250000e-01 1.000000e+00 0.000000e+00 3.062500e+01
1.106871e-05 1.077620e-05 -9.250000e-01 1.000000e+00 0.000000e+00 3.137500e+01
3.477275e-05 1.261533e-05 -9.250000e-01 1.000000e+00 0.000000e+00 3.212500e+01
2.095518e-05 9.174082e-06 -9.250000e-01 1.000000e+00 0.000000e+00 3.287500e+01
2.426342e-05 1.246440e-05 -9.250000e-01 1.000000e+00 0.000000e+00 3.362500e+01
4.134200e-05 1.064503e-05 -9.250000e-01 1.000000e+00 0.000000e+00 3.437500e+01
2.915410e-05 1.089949e-05 -9.250000e-01 1.000000e+00 0.000000e+00 3.512500e+01
4.338096e-05 1.208503e-05 -9.250000e-01 1.000000e+00 0.000000e+00 3.587500e+01
1.171732e-06 9.772768e-06 -9.250000e-01 1.000000e+00 0.000000e+00 3.662500e+01
4.312202e-08 8.678511e-06 -9.250000e-01 1.000000e+00 0.000000e+00 3.737500e+01
-2.268657e-06 7.209915e-06 -9.250000e-01 1.000000e+00 0.000000e+00 3.812500e+01
7.987376e-06 7.221265e-06 -9.250000e-01 1.000000e+00 0.000000e+00 3.887500e+01
2.403260e-06 7.357513e-06 -9.250000e-01 1.000000e+00 0.000000e+00 3.962500e+01
1.145762e-05 5.919205e-06 -9.250000e-01 1.000000e+00 0.000000e+00 4.037500e+01
-1.122200e-05 5.988554e-06 -9.250000e-01 1.000000e+00 0.000000e+00 4.112500e+01
-8.716427e-06 4.872816e-06 -9.250000e-01 1.000000e+00 0.000000e+00 4.187500e+01
6.413933e-06 4.945125e-06 -9.250000e-01 1.000000e+00 0.000000e+00 4.262500e+01
3.893076e-06 5.352519e-06 -9.250000e-01 1.000000e+00 0.000000e+00 4.337500e+01
2.532612e-06 3.610581e-06 -9.250000e-01 1.000000e+00 0.000000e+00 4.412500e+01
1.781135e-05 6.506708e-06 -9.250000e-01 1.000000e+00 0.000000e+00 4.487500e+01
6.548797e-06 4.064294e-06 -9.250000e-01 1.000000e+00 0.000000e+00 4.562500e+01
-6.537599e-06 4.224212e-06 -9.250000e-01 1.000000e+00 0.000000e+00 4.637500e+01
-7.818009e-06 2.365977e-06 -9.250000e-01 1.000000e+00 0.000000e+00 4.712500e+01
-9.387429e-06 3.344477e-06 -9.250000e-01 1.000000e+00 0.000000e+00 4.787500e+01
-6.572635e-06 2.602385e-06 -9.250000e-01 1.000000e+00 0.000000e+00 4.862500e+01
-1.341818e-06 2.334634e-06 -9.250000e-01 1.000000e+00 0.000000e+00 4.937500e+01
-4.125225e-06 2.484540e-06 -9.250000e-01 1.000000e+00 0.000000e+00 5.012500e+01
-8.627055e-06 2.499496e-06 -9.250000e-01 1.000000e+00 0.000000e+00 5.087500e+01
-9.392518e-06 2.269331e-06 -9.250000e-01 1.000000e+00 0.000000e+00 5.162500e+01
-1.071650e-05 1.900186e-06 -9.250000e-01 1.000000e+00 0.000000e+00 5.237500e+01
-1.164804e-05 2.214834e-06 -9.250000e-01 1.000000e+00 0.000000e+00 5.312500e+01
-1.998247e-05 2.079131e-06 -9.250000e-01 1.000000e+00 0.000000e+00 5.387500e+01
-2.282496e-05 2.223542e-06 -9.250000e-01 1.000000e+00 0.000000e+00 5.462500e+01
-1.652948e-05 1.653237e-06 -9.250000e-01 1.000000e+00 0.000000e+00 5.537500e+01
-1.921098e-05 1.677965e-06 -9.250000e-01 1.000000e+00 0.000000e+00 5.612500e+01
-1.485194e-05 1.654758e-06 -9.250000e-01 1.000000e+00 0.000000e+00 5.687500e+01
-3.035054e-05 2.051624e-06 -9.250000e-01 1.000000e+00 0.000000e+00 5.762500e+01
-2.882952e-05 2.654402e-06 -9.250000e-01 1.000000e+00 0.000000e+00 5.837500e+01
-2.143099e-05 5.460078e-06 -9.250000e-01 1.000000e+00 0.000000e+00 5.912500e+01
-5.463848e-05 3.863524e-05 -9.250000e-01 1.000000e+00 0.000000e+00 5.987500e+01
5.110282e-05 2.128584e-05 -8.750000e-01 1.000000e+00 0.000000e+00 -4.625000e+00
7.418835e-05 2.491060e-05 -8.750000e-01 1.000000e+00 0.000000e+00 -3.875000e+00
1.472670e-04 3.639725e-05 -8.750000e-01 1.000000e+00 0.000000e+00 -3.125000e+00
3.470949e-04 4.746942e-05 -8.750000e-01 1.000000e+00 0.000000e+00 -2.375000e+00
3.460075e-04 5.482451e-05 -8.750000e-01 1.000000e+00 0.000000e+00 -1.625000e+00
4.614613e-04 6.180174e-05 -8.750000e-01 1.000000e+00 0.000000e+00 -8.750000e-01
7.553820e-04 6.939740e-05 -8.750000e-01 1.000000e+00 0.000000e+00 -1.250000e-01
6.763589e-04 6.782531e-05 -8.750000e-01 1.000000e+00 0.000000e+00 6.250000e-01
4.355895e-04 5.710285e-05 -8.750000e-01 1.000000e+00 0.000000e+00 1.375000e+00
2.922730e-04 4.992770e-05 -8.750000e-01 1.000000e+00 0.000000e+00 2.125000e+00
1.750219e-04 3.582085e-05 -8.750000e-01 1.000000e+00 0.000000e+00 2.875000e+00
4.762389e-05 2.683774e-05 -8.750000e-01 1.000000e+00 0.000000e+00 3.625000e+00
2.492860e-05 2.053089e-05 -8.750000e-01 1.000000e+00 0.000000e+00 4.375000e+00
-2.365587e-05 1.928887e-05 -8.750000e-01 1.000000e+00 0.000000e+00 5.125000e+00
-1.408677e-05 1.971880e-05 -8.750000e-01 1.000000e+00 0.000000e+00 5.875000e+00
2.457429e-05 2.025406e-05 -8.750000e-01 1.000000e+00 0.000000e+00 6.625000e+00
9.376347e-06 2.211510e-05 -8.750000e-01 1.000000e+00 0.000000e+00 7.375000e+00
1.387030e-05 1.700895e-05 -8.750000e-01 1.000000e+00 0.000000e+00 8.125000e+00
5.012516e-05 1.675644e-05 -8.750000e-01 1.000000e+00 0.000000e+00 8.875000e+00
5.560655e-05 1.770297e-05 -8.750000e-01 1.000000e+00 0.000000e+00 9.625000e+00
2.869158e-05 1.344038e-05 -8.750000e-01 1.000000e+00 0.000000e+00 1.037500e+01
-1.022430e-05 1.411285e-05 -8.750000e-01 1.000000e+00 0.000000e+00 1.112500e+01
-9.956534e-06 1.174215e-05 -8.750000e-01 1.000000e+00 0.000000e+00 1.187500e+01
