# Intensity Error [H,0,0] [0,K,0] [0,0,L] DeltaE
#  shape: 1x64x1x87
7.313006e-05 6.118362e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 -4.625000e+00
3.173232e-04 8.291286e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 -3.875000e+00
8.219967e-04 1.148306e-04 -1.000000e+00 -3.150000e+00 0.000000e+00 -3.125000e+00
1.523367e-03 1.547224e-04 -1.000000e+00 -3.150000e+00 0.000000e+00 -2.375000e+00
2.278641e-03 1.812844e-04 -1.000000e+00 -3.150000e+00 0.000000e+00 -1.625000e+00
2.191555e-03 1.829560e-04 -1.000000e+00 -3.150000e+00 0.000000e+00 -8.750000e-01
2.026953e-03 1.673434e-04 -1.000000e+00 -3.150000e+00 0.000000e+00 -1.250000e-01
1.491578e-03 1.461519e-04 -1.000000e+00 -3.150000e+00 0.000000e+00 6.250000e-01
1.008936e-03 1.065357e-04 -1.000000e+00 -3.150000e+00 0.000000e+00 1.375000e+00
5.219982e-04 7.552250e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.125000e+00
3.195346e-04 4.881159e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.875000e+00
5.360045e-05 2.575965e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 3.625000e+00
4.276935e-05 2.108438e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 4.375000e+00
-3.529837e-05 1.934062e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 5.125000e+00
-1.451200e-05 2.181869e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 5.875000e+00
3.416489e-05 2.301700e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 6.625000e+00
3.945439e-06 1.780406e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 7.375000e+00
9.835677e-06 2.382671e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 8.125000e+00
2.049983e-05 2.150957e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 8.875000e+00
5.100387e-05 2.148805e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 9.625000e+00
-1.376425e-05 2.458200e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 1.037500e+01
-8.863302e-06 2.027445e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 1.112500e+01
7.341795e-05 2.581303e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 1.187500e+01
-1.306109e-05 2.072828e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 1.262500e+01
2.381895e-05 2.085883e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 1.337500e+01
5.836772e-05 1.855279e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 1.412500e+01
-5.811525e-06 1.876493e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 1.487500e+01
2.422351e-05 1.981690e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 1.562500e+01
4.579756e-05 2.007123e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 1.637500e+01
6.420350e-05 2.624081e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 1.712500e+01
4.397188e-05 2.365164e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 1.787500e+01
4.908914e-05 2.363055e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 1.862500e+01
5.337905e-05 2.199382e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 1.937500e+01
8.870218e-05 2.482430e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.012500e+01
8.311206e-05 2.157842e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.087500e+01
5.608446e-05 2.079795e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.162500e+01
3.005893e-05 1.657745e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.237500e+01
3.193840e-05 1.925804e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.312500e+01
7.113937e-05 2.019523e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.387500e+01
6.112363e-05 2.033924e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.462500e+01
5.936582e-05 1.816710e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.537500e+01
6.377268e-05 1.822999e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.612500e+01
6.638832e-05 1.799694e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.687500e+01
4.420287e-05 1.587932e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.762500e+01
1.043666e-05 1.369938e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.837500e+01
5.237527e-05 1.674247e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.912500e+01
2.157492e-05 1.404409e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 2.987500e+01
2.138738e-05 1.105792e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 3.062500e+01
2.596092e-05 1.139184e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 3.137500e+01
3.498799e-05 1.329262e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 3.212500e+01
-3.003888e-06 9.968610e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 3.287500e+01
9.005982e-06 1.057683e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 3.362500e+01
2.891710e-05 1.206156e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 3.437500e+01
2.607166e-05 1.335910e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 3.512500e+01
1.330273e-05 1.205830e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 3.587500e+01
2.975726e-05 1.176260e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 3.662500e+01
2.112712e-05 1.015819e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 3.737500e+01
1.078610e-05 9.397792e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 3.812500e+01
4.142006e-07 8.530815e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 3.887500e+01
1.614626e-05 7.220854e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 3.962500e+01
1.727644e-06 8.484950e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 4.037500e+01
9.073513e-06 6.904667e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 4.112500e+01
-3.167645e-07 9.478039e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 4.187500e+01
-7.376862e-06 4.970121e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 4.262500e+01
6.508746e-06 4.602408e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 4.337500e+01
-1.008543e-06 1.029507e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 4.412500e+01
1.497104e-05 9.256090e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 4.487500e+01
2.081005e-05 9.613483e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 4.562500e+01
1.153586e-05 1.022423e-05 -1.000000e+00 -3.150000e+00 0.000000e+00 4.637500e+01
9.843645e-06 5.683260e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 4.712500e+01
-7.457396e-06 7.376581e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 4.787500e+01
-4.688195e-06 4.544905e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 4.862500e+01
-6.811547e-07 3.955216e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 4.937500e+01
-9.757466e-06 5.230993e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 5.012500e+01
-1.178960e-05 6.618102e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 5.087500e+01
-1.385695e-06 5.480121e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 5.162500e+01
-7.487468e-07 3.841391e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 5.237500e+01
-2.094830e-05 6.357872e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 5.312500e+01
-1.911432e-05 4.778675e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 5.387500e+01
-2.281043e-05 6.953028e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 5.462500e+01
-1.799122e-05 4.497858e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 5.537500e+01
-5.660496e-05 8.611846e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 5.612500e+01
-4.449251e-05 8.514854e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 5.687500e+01
-1.613504e-05 6.715435e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 5.762500e+01
-2.162952e-05 7.752635e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 5.837500e+01
-2.404471e-05 5.831961e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 5.912500e+01
-3.176048e-05 8.119349e-06 -1.000000e+00 -3.150000e+00 0.000000e+00 5.987500e+01
4.136607e-04 8.227609e-05 -1.000000e+00 -3.050000e+00 0.000000e+00 -4.625000e+00
1.315941e-03 1.297854e-04 -1.000000e+00 -3.050000e+00 0.000000e+00 -3.875000e+00
